Stock,Usage,Waste
Stock 1,83.89491949412655,16.105080505873445
Stock 2,88.91547238064655,11.084527619353452
Stock 3,82.10144064511412,17.898559354885876
Stock 4,70.59870380873708,29.401296191262915
Stock 5,89.23514648708682,10.764853512913177
