Episode,Reward,Epsilon,Alpha,Steps,Max_Q
53,20.510203289161293,0.7666961448653229,0.2703394349157875,23,18.489091781929744
54,20.510203289161293,0.7628626641409962,0.2697987560459559,23,18.688242626801415
55,20.510203289161293,0.7590483508202912,0.26925915853386395,23,18.881941524213108
56,20.510203289161293,0.7552531090661897,0.26872064021679626,23,19.070247054748265
57,20.510203289161293,0.7514768435208588,0.2681831989363626,23,19.2532469906598
58,20.510203289161293,0.7477194593032545,0.2676468325384899,23,19.431048658844915
59,20.510203289161293,0.7439808620067382,0.26711153887341293,23,19.606558028616593
60,20.510203289161293,0.7402609576967045,0.2665773157956661,23,19.78580226531463
61,20.510203289161293,0.736559652908221,0.26604416116407476,23,19.964424499623632
62,20.510203289161293,0.7328768546436799,0.26551207284174666,23,20.140114131165287
63,20.510203289161293,0.7292124703704616,0.26498104869606315,23,20.311683776662314
64,23.549747306811796,0.7255664080186093,0.264451086598671,39,20.47856223272802
65,23.549747306811796,0.7219385759785162,0.26392218442547366,39,20.62138810330821
66,23.549747306811796,0.7183288830986236,0.2633943400566227,39,20.760115113262195
67,23.549747306811796,0.7147372386831305,0.26286755137650947,39,20.894866127329653
68,23.549747306811796,0.7111635524897149,0.26234181627375647,39,21.025760841793684
69,23.549747306811796,0.7076077347272662,0.2618171326412089,39,21.15291565515356
70,22.49955128126615,0.7040696960536299,0.2612934983759265,33,21.276443609922083
71,20.749224572023408,0.7005493475733617,0.2607709113791747,23,21.396454384552403
72,20.565956642542577,0.697046600835495,0.2602493695564163,18,21.513054320355252
73,20.682356113442047,0.6935613678313175,0.2597288708173035,19,21.624983200271878
74,24.798291887664973,0.6900935609921609,0.25920941307566886,41,21.73273774504514
75,20.682356113442047,0.6866430931872001,0.2586909942495175,19,21.836705367941715
76,20.247442443633847,0.6832098777212641,0.2581736122610185,15,21.814892495757892
77,20.247442443633847,0.6797938283326578,0.25765726503649644,15,21.82474361977214
78,20.247442443633847,0.6763948591909945,0.25714195050642347,15,21.85726056904206
79,22.66434631681505,0.6730128848950395,0.25662766660541064,37,21.905829754311775
80,22.259784064830935,0.6696478204705644,0.2561144112721998,37,21.973484235687007
81,25.000158160606446,0.6662995813682115,0.25560218244965544,44,22.054389724686903
82,22.283750711863032,0.6629680834613705,0.2550909780847561,40,21.797864248896524
83,22.05999409810642,0.6596532430440636,0.2545807961285866,40,21.644845893560152
84,21.24882007363551,0.6563549768288433,0.2540716345363294,31,21.567583834860883
85,20.921349985383195,0.653073201944699,0.25356349126725675,31,21.545559639787182
86,21.113820967526046,0.6498078359349755,0.2530563642847222,31,21.563598916927763
87,21.18686348158028,0.6465587967553006,0.2525502515561528,31,21.610211447834413
88,21.18686348158028,0.6433260027715241,0.2520451510530405,31,21.677172909105437
89,21.18686348158028,0.6401093727576664,0.2515410607509344,31,21.758403215593123
90,24.83532248662326,0.6369088258938781,0.2510379786294325,45,21.849410459533626
91,21.745144054703644,0.6337242817644086,0.2505359026721737,37,21.638101994697497
92,22.377569417426862,0.6305556603555866,0.2500348308668293,37,21.40038628066245
93,21.01256484463419,0.6274028820538087,0.24953476120509566,31,21.261148478794837
94,20.82019882487559,0.6242658676435396,0.24903569168268547,30,21.194425747763663
95,23.953868633076652,0.6211445383053219,0.24853762029932008,37,21.180892682046586
96,21.527226923007213,0.6180388156137953,0.24804054505872145,30,20.963841512156066
97,21.759901955042565,0.6149486215357263,0.247544463968604,30,20.791415205617685
98,22.826392556274392,0.6118738784280476,0.24704937504066682,37,20.69950639014435
99,21.590231531968826,0.6088145090359074,0.24655527629058546,34,20.624153884085803
100,25.49273686899319,0.6057704364907278,0.2460621657380043,100,19.13411647951684
101,25.49273686899319,0.6027415843082742,0.2455700414065283,100,19.13411647951684
102,25.55013462723143,0.5997278763867329,0.24507890132371524,100,19.13411647951684
103,25.331453819053053,0.5967292370047992,0.2445887435210678,100,19.13411647951684
104,25.266860248597833,0.5937455908197752,0.24409956603402566,100,19.13411647951684
105,29.669243700247087,0.5907768628656763,0.24361136690195762,100,19.13411647951684
106,29.843579203840054,0.5878229785513479,0.2431241441681537,100,19.13411647951684
107,30.803988512805216,0.5848838636585911,0.24263789587981738,87,19.13411647951684
108,30.91433131039248,0.5819594443402982,0.24215262008805774,87,19.13411647951684
109,22.006738097359985,0.5790496471185967,0.24166831484788165,39,19.13411647951684
110,22.112539722828053,0.5761543988830038,0.24118497821818588,39,19.13411647951684
111,23.473976352636413,0.5732736268885887,0.2407026082617495,55,19.13411647951684
112,25.779483039255847,0.5704072587541458,0.240221203045226,66,19.13411647951684
113,24.190627317899594,0.567555222460375,0.23974076063913555,55,19.13411647951684
114,30.238819368456593,0.5647174463480732,0.23926127911785727,77,19.13411647951684
115,30.184444686984307,0.5618938591163328,0.23878275655962156,62,19.13411647951684
116,31.077022830408104,0.5590843898207511,0.2383051910465023,79,19.13411647951684
117,31.225017699279483,0.5562889678716474,0.23782858066440932,89,19.13411647951684
118,30.379897866795265,0.5535075230322891,0.2373529235030805,80,19.13411647951684
119,31.604949352116616,0.5507399854171277,0.23687821765607434,90,19.13411647951684
120,32.184476585482656,0.547986285490042,0.23640446122076217,90,19.13411647951684
121,32.33143766578171,0.5452463540625918,0.23593165229832064,90,19.13411647951684
122,28.43328141736525,0.5425201222922789,0.23545978899372402,38,19.13411647951684
123,26.415782476179597,0.5398075216808175,0.23498886941573657,22,19.13411647951684
124,27.310296764882434,0.5371084840724134,0.2345188916769051,56,19.13411647951684
125,27.23325256619599,0.5344229416520513,0.2340498538935513,56,19.13411647951684
126,33.60601936086698,0.531750826943791,0.23358175418576418,95,19.13411647951684
127,32.28037211220749,0.5290920728090721,0.23311459067739265,84,19.13411647951684
128,27.180166442354967,0.5264466124450268,0.23264836149603788,70,19.13411647951684
129,27.51350112228951,0.5238143793828016,0.2321830647730458,70,19.13411647951684
130,27.63417437282581,0.5211953074858876,0.2317186986434997,70,19.13411647951684
131,27.135943161946763,0.5185893309484582,0.2312552612462127,37,19.13411647951684
132,26.65985655224378,0.5159963842937159,0.2307927507237203,24,19.13411647951684
133,27.086089375556792,0.5134164023722473,0.23033116522227284,34,19.13411647951684
134,25.971572540209387,0.510849320360386,0.2298705028918283,64,19.13411647951684
135,26.431367744060378,0.5082950737585841,0.22941076188604462,56,19.13411647951684
136,28.103135202067723,0.5057535983897912,0.22895194036227254,90,19.13411647951684
137,26.856187283448524,0.5032248303978422,0.228494036481548,68,19.13411647951684
138,21.817483481280764,0.500708706245853,0.2280370484085849,100,19.13411647951684
139,32.751315534577046,0.4982051627146237,0.22758097431176774,43,19.13411647951684
140,35.72075666309337,0.49571413690105054,0.22712581236314422,65,19.13411647951684
141,34.227910208779974,0.4932355662165453,0.2266715607384179,65,19.13411647951684
142,33.34213277246032,0.4907693883854626,0.22621821761694108,51,19.13411647951684
143,32.844580458436766,0.4883155414435353,0.2257657811817072,33,19.13411647951684
144,37.703939831693596,0.4858739637363176,0.22531424961934376,66,19.13411647951684
145,38.25025724994698,0.483444593917636,0.22486362112010508,66,19.13411647951684
146,19.952855698839976,0.4810273709480478,0.22441389387786487,100,19.13411647951684
147,20.03429592618226,0.47862223409330756,0.22396506609010916,100,19.13411647951684
148,22.741841565851658,0.47622912292284103,0.2235171359579289,100,19.13411647951684
149,23.660288339563436,0.4738479773082268,0.22307010168601307,100,19.13411647951684
150,25.16144603902811,0.47147873742168567,0.22262396148264105,100,19.13411647951684
151,20.355264487205766,0.46912134373457726,0.22217871355967578,100,19.13411647951684
152,22.26502698404553,0.46677573701590436,0.22173435613255643,100,19.13411647951684
153,20.546244971551662,0.46444185833082485,0.2212908874202913,100,19.13411647951684
154,35.01957513407324,0.46211964903917074,0.22084830564545072,100,19.13411647951684
155,35.00406674575782,0.4598090507939749,0.22040660903415982,100,19.13411647951684
156,39.72410069785746,0.457510005540005,0.21996579581609152,100,19.13411647951684
157,37.138077801073734,0.45522245551230495,0.2195258642244593,100,19.13411647951684
158,31.138003633233755,0.4529463432347434,0.2190868124960104,100,19.13411647951684
159,41.245833220676964,0.4506816115185697,0.21864863887101837,100,19.13411647951684
160,39.30298796920294,0.4484282034609769,0.21821134159327635,100,19.13411647951684
161,18.06355616496025,0.446186062443672,0.21777491891008977,100,19.13411647951684
162,23.586178294480703,0.4439551321314536,0.2173393690722696,100,19.13411647951684
163,22.362349676378088,0.4417353564707963,0.21690469033412504,100,19.13411647951684
164,27.168024691058896,0.43952667968844233,0.21647088095345682,100,19.13411647951684
165,26.196881089640964,0.43732904629000013,0.2160379391915499,100,19.13411647951684
166,28.36377511865085,0.4351424010585501,0.21560586331316678,100,19.13411647951684
167,24.800024082158743,0.43296668905325736,0.21517465158654045,100,19.13411647951684
168,27.299706327683868,0.43080185560799106,0.21474430228336738,100,19.13411647951684
169,33.0599605534223,0.4286478463299511,0.21431481367880065,100,19.13411647951684
170,32.74209180696166,0.42650460709830135,0.21388618405144305,100,19.13411647951684
171,40.421476617029825,0.42437208406280985,0.21345841168334018,100,19.13411647951684
172,31.55770699865654,0.4222502236424958,0.2130314948599735,100,19.13411647951684
173,31.52083199147821,0.42013897252428334,0.21260543187025352,100,19.13411647951684
174,25.272414259263854,0.4180382776616619,0.21218022100651304,100,19.13411647951684
175,35.23489079589825,0.4159480862733536,0.2117558605645,100,19.13411647951684
176,24.903074021049942,0.41386834584198684,0.21133234884337102,100,19.13411647951684
177,36.47483759704069,0.4117990041127769,0.21090968414568426,100,19.13411647951684
178,24.54163783950041,0.40974000909221303,0.21048786477739287,100,19.13411647951684
179,23.780845779778755,0.40769130904675194,0.2100668890478381,100,19.13411647951684
180,24.593177688526737,0.40565285250151817,0.2096467552697424,100,19.13411647951684
181,24.802138945299568,0.4036245882390106,0.20922746175920293,100,19.13411647951684
182,23.871422332250017,0.4016064652978155,0.2088090068356845,100,19.13411647951684
183,20.81561463177077,0.3995984329713264,0.20839138882201316,100,19.13411647951684
184,27.9684751406069,0.3976004408064698,0.20797460604436913,100,19.13411647951684
185,25.780487190150826,0.39561243860243744,0.2075586568322804,100,19.13411647951684
186,36.9201331978489,0.3936343764094253,0.20714353951861583,100,19.13411647951684
187,37.05100654144446,0.39166620452737816,0.2067292524395786,100,19.13411647951684
188,39.22570521229496,0.3897078735047413,0.20631579393469943,100,19.13411647951684
189,34.01383811577,0.3877593341372176,0.20590316234683004,100,19.13411647951684
190,34.30804052593525,0.3858205374665315,0.2054913560221364,100,19.13411647951684
191,-2.5328877908839966,0.38389143477919885,0.2050803733100921,100,19.13411647951684
192,-0.861709061727033,0.3819719776053028,0.20467021256347193,100,19.13411647951684
193,-0.6058402122419677,0.3800621177172763,0.20426087213834498,100,19.13411647951684
194,3.6877496094506235,0.37816180712868996,0.2038523503940683,100,19.13411647951684
195,-1.7818592832007103,0.37627099809304654,0.20344464569328014,100,19.13411647951684
196,9.189376721079757,0.3743896431025813,0.2030377564018936,100,19.13411647951684
197,7.173149935182063,0.37251769488706843,0.2026316808890898,100,19.13411647951684
198,7.824222660423358,0.3706551064126331,0.20222641752731163,100,19.13411647951684
199,33.638504132542934,0.36880183088056995,0.201821964692257,100,19.13411647951684
200,9.560676636234273,0.3669578217261671,0.20141832076287247,100,19.13411647951684
201,13.88026179043317,0.36512303261753626,0.20101548412134676,100,19.13411647951684
202,24.494995075326024,0.3632974174544486,0.20061345315310405,100,19.13411647951684
203,28.01013050518754,0.3614809303671764,0.20021222624679783,100,19.13411647951684
204,26.460586192858525,0.3596735257153405,0.19981180179430422,100,19.13411647951684
205,32.98936451283509,0.3578751580867638,0.19941217819071563,100,19.13411647951684
206,42.93919026836494,0.35608578229633,0.19901335383433422,100,19.13411647951684
207,46.5852645480725,0.3543053533848483,0.19861532712666552,100,19.13411647951684
208,45.281382934617355,0.35253382661792404,0.1982180964724122,100,19.13411647951684
209,47.13066526141276,0.3507711574848344,0.19782166027946738,100,19.13411647951684
210,41.13044995588016,0.34901730169741024,0.19742601695890846,100,19.13411647951684
211,42.29383452580474,0.3472722151889232,0.19703116492499062,100,19.13411647951684
212,38.39479148032138,0.3455358541129786,0.19663710259514064,100,19.13411647951684
213,40.00322424878652,0.3438081748424137,0.19624382838995036,100,19.13411647951684
214,11.423488142667539,0.3420891339682016,0.19585134073317045,100,19.13411647951684
215,21.26088581719629,0.3403786882983606,0.1954596380517041,100,19.13411647951684
216,37.68581217263725,0.3386767948568688,0.19506871877560072,100,19.13411647951684
217,42.215907426545805,0.33698341088258443,0.19467858133804952,100,19.13411647951684
218,24.023628451128385,0.3352984938281715,0.1942892241753734,100,19.13411647951684
